G1	G3	+
G1	G6	+
G1	G8	-
G1	G9	-
G2	G1	-
G2	G3	+
G2	G7	+
G3	G1	+
G3	G2	+
G3	G4	-
G3	G5	+
G3	G6	-
G3	G8	-
G3	G10	+
G4	G1	-
G4	G2	+
G4	G3	-
G4	G5	+
G4	G6	-
G4	G7	+
G4	G9	+
G5	G4	+
G5	G7	-
G5	G10	-
G6	G9	+
G6	G10	-
G9	G4	-
G10	G2	+
G10	G5	+
G10	G8	+
